"...1","regiao","ibge","municipio","pib_per_capita","uf","vab","Impostos","populacao","taxa_analfabetismo","percentage_votos_centrao","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita","Comércio e reparação de veículos automotores e motocicletas","Construção","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Indústrias de transformação","Indústrias extrativas","Pecuária, inclusive apoio à pecuária","Produção florestal, pesca e aquicultura","num_bolsa","percent_bolsa","Emendas","percent_transfer","percent_empregado_mun"
1,"Norte",1100023,"ARIQUEMES",28878.27,"RO","Demais serviços",420195.36,111147.980852039,0.0592,0.746907264996552,0,0,0,0,1,0,0,0,0,0,4254,0.0382732998601475,7837947,0.736879231132636,0.111809754131399
2,"Norte",1100031,"CABIXI",47051.83,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",11192.685,5067.00011455452,0.1018,0.368504101318529,0,1,0,0,0,0,0,0,0,0,264,0.0521018342276493,1697523,0.924359373499912,0.417391304347826
3,"Norte",1100049,"CACOAL",32313.26,"RO","Demais serviços",384606.648,86416.0026255475,0.0629000000000001,0.125429711633419,0,0,0,0,1,0,0,0,0,0,3354,0.038812255810227,13913157,0.635449226437814,0.0875962655423138
4,"Norte",1100056,"CEREJEIRAS",46185.81,"RO","Comércio e reparação de veículos automotores e motocicletas",131903.932,16088.0014012962,0.0784999999999999,0.259378421052632,0,0,1,0,0,0,0,0,0,0,697,0.0433242130339349,3815040.8,0.838077757465118,0.178571428571429
5,"Norte",1100064,"COLORADO DO OESTE",27923.92,"RO","Administração, defesa, educação e saúde públicas e seguridade social",33010.713,15213.0003237368,0.0953,0.40914446183328,1,0,0,0,0,0,0,0,0,0,396,0.0260303682096242,5086959.76,0.882395510462894,0.172099853157122
6,"Norte",1100072,"CORUMBIARA",56257.46,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",16070.461,7052.00010807456,0.0848,0.43206574912892,0,1,0,0,0,0,0,0,0,0,443,0.0628190574604167,2726394,0.92238049778957,0.316760224538893
7,"Norte",1100080,"COSTA MARQUES",16446.15,"RO","Administração, defesa, educação e saúde públicas e seguridade social",11756.339,19254.9956068746,0.0708,0.767070720042988,1,0,0,0,0,0,0,0,0,0,1549,0.0804466555913918,3384740,0.932488583976722,0.414307004470939
9,"Norte",1100106,"GUAJARÁ-MIRIM",22462.79,"RO","Administração, defesa, educação e saúde públicas e seguridade social",180690.724,46929.9916884768,0.0584,0.288907500484402,1,0,0,0,0,0,0,0,0,0,3379,0.0720008650849533,7066464,0.83617639059261,0.131379962192817
10,"Norte",1100114,"JARU",34294.21,"RO","Demais serviços",238102.138,51469.0027558588,0.0761,0.803410174367916,0,0,0,0,1,0,0,0,0,0,2051,0.0398492274996824,10133522,0.741580565883493,0.129702284791138
11,"Norte",1100122,"JI-PARANÁ",32292.16,"RO","Demais serviços",719631.618,131026.017894127,0.0563,0.140150306546531,0,0,0,0,1,0,0,0,0,0,3019,0.0230412253117503,21288639.72,0.727331966294229,0.0834736588886216
14,"Norte",1100155,"OURO PRETO DO OESTE",27814.02,"RO","Administração, defesa, educação e saúde públicas e seguridade social",96925.506,35444.995149928,0.0719,0.575890149812734,1,0,0,0,0,0,0,0,0,0,1321,0.0372690134224122,13531497.43,0.767387395685253,0.173758398103017
15,"Norte",1100189,"PIMENTA BUENO",44275.07,"RO","Demais serviços",305833.083,37097.9985124812,0.0676,0.433794579164214,0,0,0,0,1,0,0,0,0,0,903,0.0243409357972829,6951422.33,0.811433148827942,0.106388459556929
16,"Norte",1100205,"PORTO VELHO",36541.49,"RO","Demais serviços",2851397.662,548951.940821242,0.0436,0.236792967511963,0,0,0,0,1,0,0,0,0,0,23796,0.0433480569617821,42931551.69,0.688164938766207,0.0739585499410827
17,"Norte",1100254,"PRESIDENTE MÉDICI",30827.94,"RO","Pecuária, inclusive apoio à pecuária",51481.698,18164.9998345657,0.0762,0.0727642687453601,0,0,0,0,0,0,0,0,1,0,1844,0.10151390128235,4811986.66,0.848503069571366,0.22130923034785
